Country Key (PK);Country Name;HDI;Country Area
AUT;Austria;0.922;83858
BEL;Belgium;0.931;30510
BIH;Bosnia and Herzegovina;0.78;51129
BGR;Bulgaria;0.816;110994
HRV;Croatia;0.851;56594
CYP;Cyprus;0.887;9251
CZE;Czechia;0.9;78866
DNK;Denmark;0.94;44493
EST;Estonia;0.892;45339
FIN;Finland;0.938;338145
FRA;France;0.901;643801
DEU;Germany;0.947;357386
GRC;Greece;0.888;131940
HUN;Hungary;0.854;93030
ISL;Iceland;0.949;102775
IRL;Ireland;0.955;70273
ITA;Italy;0.892;301338
LVA;Latvia;0.866;64589
LIE;Liechtenstein;0.919;160
LTU;Lithuania;0.882;65300
LUX;Luxembourg;0.916;2586
MLT;Malta;0.895;316
MNE;Montenegro;0.829;13812
NLD;Netherlands;0.944;42531
NMK;North Macedonia;0.774;25713
NOR;Norway;0.957;385178
POL;Poland;0.880;312685
PRT;Portugal;0.864;91568
ROU;Romania;0.828;238397
SRB;Serbia;0.806;77453
SVK;Slovakia;0.860;49036
SVN;Slovenia;0.917;20273
ESP;Spain;0.904;505990
SWE;Sweden;0.945;450295
CHE;Switzerland;0.955;41290
TUR;Turkey;0.820;783562
GBR;United Kingdom;0.932;242495
AND;Andorra;0.868;468
BLR;Belarus;0.823;207600
XKK;Kosovo;0.739;10887
MDA;Moldova;0.750;33846
RUS;Russia;0.824;17098242
SMR;San Marino;0.961;61
UKR;Ukraine;0.779;603628
GEO;Georgia;0.812;2428
ALB;Albania;0.795;28748
ARM;Armenia;0.776;29743
AZE;Azerbaijan;0.756;86600
