Education Key;Country;Year;Primary;Lower secondary;Upper secondary;Bachelor's;Master's;Doctoral ;Expected Years of Education;Despesa Publica
1;Belgium;2012;:;:;:;:;:;:;:;22914,3
2;Belgium;2013;764137;432877;773697;364202;85553;14610;19;23408
3;Belgium;2014;773568;433699;776413;362780;92959;15604;18;23975,5
4;Belgium;2015;782606;444573;773339;365925;97920;16486;18;24851,1
5;Belgium;2016;797390;427786;768597;369299;97979;16685;18;24913,5
6;Belgium;2017;814974;427010;759820;384173;102067;17021;19;25259,8
7;Belgium;2018;821236;428690;750644;372686;102785;17339;19;
8;Belgium;2019;823109;436252;757543;376473;103661;17052;19;
9;Bulgaria;2012;:;:;:;:;:;:;:;
10;Bulgaria;2013;253675;235476;284093;195637;82951;5371;17;3124,5
11;Bulgaria;2014;258840;232110;286804;191416;85823;6055;17;3587,9
12;Bulgaria;2015;261793;223664;277734;186702;85634;6617;17;3904,1
13;Bulgaria;2016;261969;221044;266043;178365;81592;6750;16;3838,8
14;Bulgaria;2017;264503;223404;262182;165572;77627;6738;16;3907,1
15;Bulgaria;2018;262735;200538;289127;155091;74680;6564;16;4325
16;Bulgaria;2019;256857;199394;281563;149686;73311;6467;16;
17;Czechia;2012;:;:;:;:;:;:;:;9419,4
18;Czechia;2013;491828;365165;436149;267731;133524;25194;18;9118,2
19;Czechia;2014;510613;367021;414371;256329;136207;25090;:;9483,7
20;Czechia;2015;534932;370387;400050;236887;133066;24582;:;10106,6
21;Czechia;2016;557455;374922;390580;221198;125634;24154;:;9644,6
22;Czechia;2017;575980;384317;388140;206068;122252;23538;:;11630,7
23;Czechia;2018;583522;398436;388678;193614;111986;22457;17;
24;Czechia;2019;581823;416382;391120;187830;108881;21637;17;
25;Denmark;2012;:;:;:;:;:;:;:;
26;Denmark;2013;469568;244067;311211;182281;67546;9628;20;
27;Denmark;2014;467484;242432;311359;187902;70168;9869;20;
28;Denmark;2015;468536;241669;311594;195054;73790;9939;20;
29;Denmark;2016;471787;240245;300377;195700;74607;9845;19;
30;Denmark;2017;472523;238501;295579;195969;71151;9656;19;16204,1
31;Denmark;2018;468362;240450;290797;195846;70048;9437;20;
32;Denmark;2019;461874;243170;284797;194663;69369;9313;20;
33;Germany;2012;2936751;4768983;2645504;208500;:;208500;16;122747,5
34;Germany;2013;2890468;4713705;2575681;1635907;930366;213200;18;123609,1
35;Germany;2014;2862690;4621120;2579952;1734827;962201;214700;18;128795,6
36;Germany;2015;2879394;4543318;2569631;1792434;988753;196200;18;132717,8
37;Germany;2016;2895195;4516511;2556653;1832459;1013268;197000;18;134022,4
38;Germany;2017;2954775;4538127;2490586;1859807;1033258;198300;18;138248,9
39;Germany;2018;2987112;4524853;2423944;1872666;1054512;200400;18;
40;Germany;2019;2996959;4496836;2426607;2012794;1070851;201800;19;
41;Estonia;2012;:;:;:;:;:;:;:;1221,2
42;Estonia;2013;75644;36946;43894;44758;17004;3044;18;1287,7
43;Estonia;2014;77215;36766;41107;40539;16477;2982;:;
44;Estonia;2015;79594;37202;40708;36299;16012;2903;:;
45;Estonia;2016;82824;37927;41959;32799;14991;2805;:;
46;Estonia;2017;85617;38367;43826;30003;14781;2606;:;52306,1
47;Estonia;2018;88107;39280;44737;28719;14590;2464;:;
48;Estonia;2019;89618;40830;45204;28211;14884;2389;:;
49;Ireland;2012;:;:;:;:;:;:;:;9216,8
50;Ireland;2013;527768;189543;153401;121210;28429;8171;18;8696,3
51;Ireland;2014;536471;187826;160290;154294;23690;7965;18;8534
52;Ireland;2015;544856;189681;164989;161302;28621;8204;19;0
53;Ireland;2016;553585;193115;166973;164268;29246;8404;19;0
54;Ireland;2017;559151;204975;168039;166891;30223;8368;19;8443,2
55;Ireland;2018;564304;236578;255182;168877;33935;8517;20;
56;Ireland;2019;568495;213135;232350;167449;34934;8647;19;
57;Greece;2012;:;:;:;:;:;:;:;7681,7
58;Greece;2013;633534;323909;371024;587391;48072;23011;18;7515,5
59;Greece;2014;628753;314664;353054;646542;55364;23881;17;7761,3
60;Greece;2015;643762;320754;341987;604666;53277;32925;18;7989,6
61;Greece;2016;646577;321636;340810;618544;57492;33452;18;0
62;Greece;2017;649246;323634;344163;634024;72321;28682;19;113789,2
63;Greece;2018;643187;323303;344893;659535;78118;29221;19;
64;Greece;2019;635950;329488;359810;678926;84510;30671;20;
65;Spain;2012;:;:;:;:;:;:;:;48867,3
66;Spain;2013;2934648;1663474;1632885;1085012;514369;23650;18;47021,1
