Country Key;Date Key;Greenhouse gas emissions (in CO2 equivalent);Total energy;Renewables and biofuels
2;1;103,3;NA;NA
2;2;101,9;NA;NA
2;3;101,4;NA;NA
2;4;101,8;NA;NA
2;5;102,3;NA;NA
2;6;100,2;NA;NA
2;7;98,4;NA;NA
2;8;96,2;NA;NA
2;9;96,3;NA;NA
2;10;87,6;NA;NA
2;11;92,6;60119,19;2969,46
2;12;85,8;55949,08;2976,64
2;13;83,6;53677,38;3391,58
2;14;83,5;55926,11;3608,12
2;15;79,8;52720,15;3452,01
2;16;82,8;52602,18;3727,07
2;17;82;55729,61;3971,3
2;18;82,1;55496,37;4117,7
2;19;82,7;53472,63;4231,6
4;1;58,4;NA;NA
4;2;61,4;NA;NA
4;3;58,9;NA;NA
4;4;63,4;NA;NA
4;5;62,5;NA;NA
4;6;63,1;NA;NA
4;7;63,6;NA;NA
4;8;67,4;NA;NA
4;9;66,1;NA;NA
4;10;57,2;NA;NA
4;11;59,7;17748,49;1485,57
4;12;64,9;19030,57;1394,67
4;13;59,9;18234,79;1653,98
4;14;54,8;16923,38;1878,59
4;15;57,7;17704,38;1859,77
4;16;60,9;18504,52;2076,37
4;17;58,5;18080,87;2022,41
4;18;60,9;18697,78;1952,2
4;19;57,2;18746,91;2541,46
7;1;75,8;NA;NA
7;2;75,8;NA;NA
7;3;73,9;NA;NA
7;4;75,5;NA;NA
7;5;76,2;NA;NA
7;6;75,1;NA;NA
7;7;75,8;NA;NA
7;8;76,7;NA;NA
7;9;74,3;NA;NA
7;10;69,8;NA;NA
7;11;71,1;45152,99;3177,61
7;12;70,3;43307,47;3498,22
7;13;68,1;42948,6;3757,16
7;14;65,5;43162,61;4130,89
7;15;64,4;41719,9;4268,73
7;16;65,1;41757,31;4384,86
7;17;66,1;41343,14;4433,74
7;18;65,6;43107,65;4539,83
7;19;64,8;43229;4566,99
8;1;101,4;NA;NA
8;2;103,6;NA;NA
8;3;102,5;NA;NA
8;4;109,5;NA;NA
8;5;101,4;NA;NA
8;6;95,5;NA;NA
8;7;106,1;NA;NA
8;8;99,8;NA;NA
8;9;94,8;NA;NA
8;10;90,6;NA;NA
8;11;90,9;19604,86;4045,57
8;12;83,8;18126,36;4141,85
8;13;77,5;17406,11;4315,1
8;14;79,9;17451,38;4475,41
8;15;74,4;16444,47;4688,02
8;16;70,7;16489,14;5047,66
8;17;73,7;16879,5;5221,58
8;18;70,7;16942,92;5776
8;19;70,7;16898,76;5740,35
12;1;84,3;NA;NA
12;2;85,4;NA;NA
12;3;83,7;NA;NA
12;4;83,6;NA;NA
12;5;82,3;NA;NA
12;6;80,6;NA;NA
12;7;81,2;NA;NA
12;8;79,2;NA;NA
12;9;79,4;NA;NA
12;10;74,1;NA;NA
12;11;76,6;330303,55;31267,62
12;12;74,7;313107,91;32438,43
12;13;75,3;315440,7;36452,88
12;14;76,7;322440,62;37632,14
12;15;73,5;308553,14;37454,53
12;16;73,8;310082,46;39929,13
12;17;74,2;311411,04;39834,02
12;18;73,2;312465,06;42513,94
12;19;70,4;305220,82;43693,14
9;1;42,9;NA;NA
9;2;43,8;NA;NA
9;3;42,4;NA;NA
9;4;47,1;NA;NA
9;5;48;NA;NA
9;6;47,4;NA;NA
9;7;45,7;NA;NA
9;8;55;NA;NA
9;9;49,7;NA;NA
9;10;41,2;NA;NA
9;11;52,3;5619,71;854,23
9;12;52,5;5625,1;836,17
9;13;49,9;5447,54;861,44
9;14;54,5;6093,4;851,14
9;15;52,5;5761,77;858,24
9;16;45,2;5391,19;933,79
9;17;49;5958,35;1001,07
9;18;52,3;5706,2;1075,68
9;19;50;6109,36;1155,76
16;1;124;NA;NA
16;2;128,1;NA;NA
16;3;124,8;NA;NA
16;4;125,3;NA;NA
16;5;124,1;NA;NA
16;6;127,7;NA;NA
16;7;126,8;NA;NA
16;8;125,7;NA;NA
16;9;124,4;NA;NA
16;10;113,2;NA;NA
16;11;112,5;14322,27;678,38
16;12;104,8;13158,91;784,11
16;13;105,2;13421,97;797
16;14;105,4;12770,81;860,93
16;15;105,3;12761,53;981,67
16;16;109,6;13363,76;1100,66
16;17;113,3;14074,01;1135,78
16;18;113,3;13712,76;1341,08
16;19;113,6;13854,04;1470,43
13;1;122;NA;NA
13;2;122,8;NA;NA
13;3;122,8;NA;NA
13;4;127;NA;NA
13;5;127,7;NA;NA
13;6;131,4;NA;NA
13;7;127,9;NA;NA
13;8;130,6;NA;NA
13;9;127,4;NA;NA
13;10;120,4;NA;NA
13;11;114,5;27664,52;2190,64
13;12;111,8;26797,82;2198,67
13;13;108,4;26603,9;2506,89
13;14;99,4;23395,06;2676,08
13;15;96,5;23216,75;2505,95
13;16;93;23264,68;2840,41
13;17;89,7;22775,8;2704,1
13;18;93,6;23407,97;2915,41
13;19;90,8;22748,62;3141,04
33;1;135,4;NA;NA
33;2;134,8;NA;NA
33;3;140,9;NA;NA
33;4;143,7;NA;NA
33;5;149,5;NA;NA
33;6;154,7;NA;NA
33;7;152,4;NA;NA
33;8;156,4;NA;NA
33;9;144,8;NA;NA
33;10;131;NA;NA
33;11;126,2;126868,34;15064,82
33;12;126,4;125627,2;14851,01
33;13;123,8;125247,24;16161,02
33;14;114,9;116944,2;17754,82
33;15;115,8;114410,2;18121,98
33;16;119,8;118850,09;17065,26
33;17;116,5;120027,37;17999,99
33;18;121,5;126188,86;17115,07
33;19;119,7;125788,77;18687,6
11;1;101,8;NA;NA
11;2;102,7;NA;NA
11;3;101,5;NA;NA
11;4;102,4;NA;NA
11;5;102,2;NA;NA
11;6;102,5;NA;NA
11;7;100,4;NA;NA
11;8;98,7;NA;NA
11;9;97,3;NA;NA
11;10;93,6;NA;NA
11;11;94,8;264191,9;22317,34
11;12;89,8;259051,35;19229,95
11;13;89,8;259303,03;22645,55
11;14;90;260676,39;25301,08
11;15;84,4;250479,62;23523,2
11;16;85,3;254475,25;24371,43
