Country Key;Date Key;Greenhouse gas emissions (in CO2 equivalent);Total energy;Renewables and biofuels;
2;1;103,3;NA;NA;
2;2;101,9;NA;NA;
2;3;101,4;NA;NA;
2;4;101,8;NA;NA;
2;5;102,3;NA;NA;
2;6;100,2;NA;NA;
2;7;98,4;NA;NA;
2;8;96,2;NA;NA;
2;9;96,3;NA;NA;
2;10;87,6;NA;NA;
2;11;92,6;60119,188;2969,459;
2;12;85,8;55949,075;2976,635;
2;13;83,6;53677,383;3391,583;
2;14;83,5;55926,105;3608,117;
2;15;79,8;52720,154;3452,008;
2;16;82,8;52602,184;3727,074;
2;17;82;55729,607;3971,301;
2;18;82,1;55496,367;4117,702;
2;19;82,7;53472,629;4231,6;
4;1;58,4;NA;NA;
4;2;61,4;NA;NA;
4;3;58,9;NA;NA;
4;4;63,4;NA;NA;
4;5;62,5;NA;NA;
4;6;63,1;NA;NA;
4;7;63,6;NA;NA;
4;8;67,4;NA;NA;
4;9;66,1;NA;NA;
4;10;57,2;NA;NA;
4;11;59,7;17748,485;1485,571;
4;12;64,9;19030,567;1394,668;
4;13;59,9;18234,789;1653,975;
4;14;54,8;16923,384;1878,591;
4;15;57,7;17704,377;1859,765;
4;16;60,9;18504,522;2076,368;
4;17;58,5;18080,869;2022,411;
4;18;60,9;18697,784;1952,201;
4;19;57,2;18746,907;2541,461;
7;1;75,8;NA;NA;
7;2;75,8;NA;NA;
7;3;73,9;NA;NA;
7;4;75,5;NA;NA;
7;5;76,2;NA;NA;
7;6;75,1;NA;NA;
7;7;75,8;NA;NA;
7;8;76,7;NA;NA;
7;9;74,3;NA;NA;
7;10;69,8;NA;NA;
7;11;71,1;45152,993;3177,609;
7;12;70,3;43307,467;3498,223;
7;13;68,1;42948,595;3757,16;
7;14;65,5;43162,612;4130,887;
7;15;64,4;41719,903;4268,734;
7;16;65,1;41757,305;4384,856;
7;17;66,1;41343,138;4433,736;
7;18;65,6;43107,647;4539,829;
7;19;64,8;43229,004;4566,991;
8;1;101,4;NA;NA;
8;2;103,6;NA;NA;
8;3;102,5;NA;NA;
8;4;109,5;NA;NA;
8;5;101,4;NA;NA;
8;6;95,5;NA;NA;
8;7;106,1;NA;NA;
8;8;99,8;NA;NA;
8;9;94,8;NA;NA;
8;10;90,6;NA;NA;
8;11;90,9;19604,864;4045,572;
8;12;83,8;18126,364;4141,848;
8;13;77,5;17406,107;4315,098;
8;14;79,9;17451,375;4475,406;
8;15;74,4;16444,466;4688,019;
8;16;70,7;16489,139;5047,657;
8;17;73,7;16879,501;5221,581;
8;18;70,7;16942,916;5776;
8;19;70,7;16898,763;5740,345;
12;1;84,3;NA;NA;
12;2;85,4;NA;NA;
12;3;83,7;NA;NA;
12;4;83,6;NA;NA;
12;5;82,3;NA;NA;
12;6;80,6;NA;NA;
12;7;81,2;NA;NA;
12;8;79,2;NA;NA;
12;9;79,4;NA;NA;
12;10;74,1;NA;NA;
12;11;76,6;330303,551;31267,615;
12;12;74,7;313107,906;32438,432;
12;13;75,3;315440,699;36452,88;
12;14;76,7;322440,619;37632,136;
12;15;73,5;308553,144;37454,527;
12;16;73,8;310082,463;39929,125;
12;17;74,2;311411,038;39834,021;
12;18;73,2;312465,059;42513,944;
12;19;70,4;305220,815;43693,142;
9;1;42,9;NA;NA;
9;2;43,8;NA;NA;
9;3;42,4;NA;NA;
9;4;47,1;NA;NA;
9;5;48;NA;NA;
9;6;47,4;NA;NA;
9;7;45,7;NA;NA;
9;8;55;NA;NA;
9;9;49,7;NA;NA;
9;10;41,2;NA;NA;
9;11;52,3;5619,711;854,231;
9;12;52,5;5625,099;836,165;
9;13;49,9;5447,54;861,442;
9;14;54,5;6093,399;851,138;
9;15;52,5;5761,765;858,244;
9;16;45,2;5391,191;933,791;
9;17;49;5958,353;1001,066;
9;18;52,3;5706,203;1075,679;
9;19;50;6109,355;1155,763;
16;1;124;NA;NA;
16;2;128,1;NA;NA;
16;3;124,8;NA;NA;
16;4;125,3;NA;NA;
16;5;124,1;NA;NA;
16;6;127,7;NA;NA;
16;7;126,8;NA;NA;
16;8;125,7;NA;NA;
16;9;124,4;NA;NA;
16;10;113,2;NA;NA;
16;11;112,5;14322,272;678,381;
16;12;104,8;13158,911;784,107;
16;13;105,2;13421,969;796,996;
16;14;105,4;12770,808;860,934;
16;15;105,3;12761,528;981,668;
16;16;109,6;13363,756;1100,659;
16;17;113,3;14074,013;1135,778;
16;18;113,3;13712,757;1341,077;
16;19;113,6;13854,042;1470,432;
13;1;122;NA;NA;
13;2;122,8;NA;NA;
13;3;122,8;NA;NA;
13;4;127;NA;NA;
13;5;127,7;NA;NA;
13;6;131,4;NA;NA;
13;7;127,9;NA;NA;
13;8;130,6;NA;NA;
13;9;127,4;NA;NA;
13;10;120,4;NA;NA;
13;11;114,5;27664,517;2190,639;
13;12;111,8;26797,816;2198,665;
13;13;108,4;26603,895;2506,89;
13;14;99,4;23395,055;2676,084;
13;15;96,5;23216,752;2505,95;
13;16;93;23264,675;2840,412;
13;17;89,7;22775,802;2704,103;
13;18;93,6;23407,972;2915,41;
13;19;90,8;22748,616;3141,04;
33;1;135,4;NA;NA;
33;2;134,8;NA;NA;
33;3;140,9;NA;NA;
33;4;143,7;NA;NA;
33;5;149,5;NA;NA;
33;6;154,7;NA;NA;
33;7;152,4;NA;NA;
33;8;156,4;NA;NA;
33;9;144,8;NA;NA;
33;10;131;NA;NA;
33;11;126,2;126868,339;15064,815;
33;12;126,4;125627,196;14851,011;
33;13;123,8;125247,24;16161,016;
33;14;114,9;116944,203;17754,822;
33;15;115,8;114410,203;18121,981;
33;16;119,8;118850,091;17065,257;
33;17;116,5;120027,371;17999,994;
33;18;121,5;126188,863;17115,074;
33;19;119,7;125788,773;18687,602;
11;1;101,8;NA;NA;
11;2;102,7;NA;NA;
11;3;101,5;NA;NA;
11;4;102,4;NA;NA;
