Country Key;Time Key;Proportion of population aged 0-14 years;Proportion of population aged 15-24 years;Proportion of population aged 25-49 years;Proportion of population aged 50-64 years;Proportion of population aged 65-79 years;Proportion of population aged 80 years and more;Populacao Ativa Masculina;Populacao Ativa Feminina
2;10;0,169;0,121;0,349;0,19;0,123;0,048;2633,3;2167
2;11;0,169;0,121;0,346;0,193;0,122;0,049;2674,6;2220
2;12;0,17;0,121;0,344;0,194;0,121;0,05;2650,3;2205,7
2;13;0,17;0,121;0,341;0,195;0,122;0,052;2670,4;2222,5
2;14;0,17;0,12;0,338;0,196;0,123;0,053;2682,3;2264,8
2;15;0,17;0,119;0,336;0,197;0,125;0,053;2676,8;2290,1
2;16;0,17;0,118;0,333;0,199;0,126;0,054;2676,9;2296,5
2;17;0,17;0,117;0,331;0,2;0,128;0,055;2681,8;2294,5
2;18;0,17;0,116;0,329;0,201;0,129;0,055;2686,8;2304,7
2;19;0,17;0,114;0,328;0,201;0,131;0,056;2701;2355
2;20;0,169;0,114;0,327;0,201;0,133;0,056;2722,9;2382,7
2;21;0,169;0,114;0,326;0,201;0,134;0,057;2712;2373,4
4;10;0,131;0,125;0,351;0,213;0,142;0,038;1862,4;1629,2
4;11;0,132;0,122;0,351;0,214;0,143;0,039;1839,6;1588
4;12;0,132;0,118;0,35;0,215;0,144;0,04;1786,1;1555,3
4;13;0,134;0,114;0,351;0,213;0,147;0,041;1782,8;1561,5
4;14;0,136;0,109;0,351;0,212;0,149;0,043;1796,6;1574,6
4;15;0,137;0,104;0,352;0,211;0,151;0,044;1798,6;1567,3
4;16;0,139;0,1;0,353;0,209;0,154;0,046;1781,7;1555,2
4;17;0,14;0,096;0,354;0,206;0,158;0,047;1749,3;1514,7
4;18;0,141;0,093;0,354;0,205;0,16;0,048;1796,7;1560,5
4;19;0,142;0,091;0,353;0,203;0,162;0,048;1787;1539
4;20;0,144;0,089;0,35;0,204;0,165;0,048;1814,3;1561,6
4;21;0,144;0,088;0,346;0,205;0,168;0,049;1772,4;1518
7;10;0,142;0,127;0,37;0,212;0,115;0,035;2999,1;2287,4
7;11;0,143;0,124;0,371;0,209;0,117;0,036;2989,1;2279,7
7;12;0,145;0,12;0,372;0,208;0,119;0,037;2948,5;2274,8
7;13;0,147;0,115;0,372;0,204;0,124;0,038;2956,6;2300,2
7;14;0,148;0,111;0,373;0,2;0,129;0,039;2969,3;2336,7
7;15;0,15;0,107;0,371;0,198;0,134;0,039;2968,3;2329,6
